Planning Area,Total,0 - 999,1000 - 1999,2000 - 2999,3000 - 3999,4000 - 4999,5000 - 5999,6000 - 6999,7000 - 7999,8000 - 8999,9000 - 9999,10000 - 10999,11000 - 11999,12000 - 14999,15000 & Over,Q1,Median Income,Q3,IQR,Mean Income,Modal Income
ANG MO KIO,86497,6306,14367,10414,10210,8320,7022,5489,4291,3392,2598,2637,1905,3237,6309,2091.343384,4234.555288,7639.652762,5548.309378,5308.143635,1670.967205
BEDOK,145214,10917,19697,17730,16491,12361,11162,7552,5855,5985,4842,4301,4067,7528,16726,2320.896785,4628.751719,9239.673689,6918.776903,5893.143912,1816.972178
BISHAN,47462,2910,4713,3635,4386,4276,3930,3308,2651,2692,1890,1835,1525,3253,6458,3138.508892,5969.720102,10656.94823,7518.439337,6756.815979,15331.67753
BUKIT BATOK,90480,5589,12060,11316,11626,9087,7371,5860,5152,4041,3221,2636,2145,4288,6088,2439.289502,4511.609992,7960.986025,5521.696523,5538.339965,1896.881497
BUKIT MERAH,78702,5897,11943,8123,7825,6249,6411,4718,4132,3552,2802,2806,2318,4404,7522,2225.963314,4890.222436,9062.990721,6837.027407,5884.526442,1612.811676
BUKIT PANJANG,77490,5526,10420,9520,10562,8405,7140,4572,4177,3446,2398,2085,1905,2994,4340,2359.926471,4323.259964,7472.228872,5112.302402,5280.487805,4325.72679
BUKIT TIMAH,37003,1779,1979,1660,2073,2116,2467,1695,1774,1677,1359,1803,1334,2661,12626,4831.639887,9942.972774,15267.32536,10435.68547,8859.484366,15441.10486
CHOA CHU KANG,111121,7809,13627,14344,14563,13038,10682,7598,6128,5104,3787,3255,2618,3802,4766,2442.292945,4400.176407,7274.11064,4831.817695,5214.635397,6125.573394
CLEMENTI,47609,2962,5558,4702,4203,3911,3848,3182,2648,2293,2038,1925,1422,3153,5764,2719.321565,5641.502079,10187.92208,7468.600513,6474.269571,15311.76119
DOWNTOWN CORE,1960,86,61,133,73,129,124,75,75,96,88,77,62,174,707,5064.516129,10519.48052,15306.93069,10242.41456,9146.938776,15429.83871
GEYLANG,61060,4374,9738,8060,7549,5681,4562,3488,2561,2191,2007,1953,1407,2836,4653,2143.052109,4142.404506,7914.877001,5771.824892,5380.658369,1761.715422
HOUGANG,127241,9273,18531,15877,16688,12827,10695,7873,5989,5649,4091,3577,2873,5396,7902,2252.330415,4253.488735,7612.247454,5359.917039,5303.129494,1777.199463
JURONG EAST,41924,2817,6424,5593,5364,4532,3688,2577,2393,1711,1374,1125,843,1465,2018,2221.705704,4168.578994,7187.212704,4965.507,5100.562923,1812.753493
JURONG WEST,148786,10288,20539,20398,21789,17754,14433,10063,7255,6010,4563,3428,2323,4617,5326,2312.261006,4077.672637,6634.850442,4322.589436,4900.064522,4256.358275
